,start,width,name,color
0,0.00038516430498250395,0.02542084412884526,trna,"(0, 0, 0, 0.8)"
1,0.026191172738810265,0.36860223986825624,RNR1,"(1.0, 0.02316178786767022, 0.0, 1.0)"
2,0.395178576912049,0.025806008433827764,trna,"(0, 0, 0, 0.8)"
3,0.4213697496508593,0.6047079588225311,RNR2,"(1.0, 0.3937503937503937, 0.0, 1.0)"
4,1.026462872778373,0.02850215856870529,trna,"(0, 0, 0, 0.8)"
5,1.0553501956520606,0.3674467469533087,ND1,"(0.9882349698526169, 0.9610300602947661, 0.0, 1.0)"
6,1.423182106910352,0.026191172738810265,trna,"(0, 0, 0, 0.8)"
7,1.4486029510391973,0.02696150134877527,trna,"(0, 0, 0, 0.8)"
8,1.4771051096079024,0.026191172738810265,trna,"(0, 0, 0, 0.8)"
9,1.5036814466516952,0.39980054857183905,ND2,"(0.5871309400721167, 1.0, 0.0, 1.0)"
10,1.9038671595285168,0.025035679823862754,trna,"(0, 0, 0, 0.8)"
11,1.9296731679623444,0.026191172738810265,trna,"(0, 0, 0, 0.8)"
12,1.9570198336161024,0.027346665653757776,trna,"(0, 0, 0, 0.8)"
13,1.997076921334283,0.025806008433827764,trna,"(0, 0, 0, 0.8)"
14,2.0244235869880405,0.025035679823862754,trna,"(0, 0, 0, 0.8)"
15,2.0502295954218686,0.5946936868929861,CO1,"(0.07757160698337173, 1.0, 0.0, 1.0)"
16,2.6441529537048893,0.026191172738810265,trna,"(0, 0, 0, 0.8)"
17,2.6718847836636295,0.025806008433827764,trna,"(0, 0, 0, 0.8)"
18,2.6984611207074223,0.26306722030305013,CO2,"(0.0, 1.0, 0.5246319661417559, 1.0)"
19,2.9630689982304026,0.024265351213897748,trna,"(0, 0, 0, 0.8)"
20,2.988104678054265,0.0781883539114483,ATP8,"(0.0, 1.0, 0.8025716695319163, 1.0)"
21,3.0501161311564484,0.26191172738810264,ATP6,"(0.0, 1.0, 0.8720565953794563, 1.0)"
22,3.3120278585445515,0.30158365080130056,CO3,"(0.0, 0.8963263319880966, 1.0, 1.0)"
23,3.6139966736508344,0.025806008433827764,trna,"(0, 0, 0, 0.8)"
24,3.640187846389644,0.13365201382892886,ND3,"(0.0, 0.5720613018407144, 1.0, 1.0)"
25,3.7746101888285386,0.025806008433827764,trna,"(0, 0, 0, 0.8)"
26,3.8015716901773136,0.11400863427482116,ND4L,"(0.0, 0.43309057463469247, 1.0, 1.0)"
27,3.9132693386222397,0.530371247960908,ND4,"(0.0, 0.31728163529634135, 1.0, 1.0)"
28,4.44402575088813,0.025806008433827764,trna,"(0, 0, 0, 0.8)"
29,4.47021692362694,0.02272469399396773,trna,"(0, 0, 0, 0.8)"
30,4.492941617620908,0.02696150134877527,trna,"(0, 0, 0, 0.8)"
31,4.520288283274666,0.7044655138129997,ND5,"(0.26176306139541405, 0.0, 1.0, 1.0)"
32,5.216280182378051,0.19951510998093705,ND6,"(0.9102931216901803, 0.0, 1.0, 1.0)"
33,5.41618045666397,0.026191172738810265,trna,"(0, 0, 0, 0.8)"
34,5.444682615232676,0.43985763629001945,CYB,"(1.0, 0.0, 0.8812507875007872, 1.0)"
35,5.88531058013266,0.02542084412884526,trna,"(0, 0, 0, 0.8)"
36,5.9115017528714695,0.025806008433827764,trna,"(0, 0, 0, 0.8)"
37,5.937307761305298,0.346262710179271,Control,"(0.5, 0.5, 0.5)"
